Namespace,Name,System name,Last updated,Private base URL,Linked products,3Scale
,adiq-api-facilitador-prd,adiq-api-facilitador-prd,"June 26, 2024 10:15",http://paycore-saas-api-facilitador.paycore-saas-prd.svc.cluster.local:8080,1,C2RJ
,adiq-api-facilitador-stg,adiq-api-facilitador-stg,"June 26, 2024 10:15",http://paycore-saas-api-facilitador.paycore-saas-stg.svc.cluster.local:8080,1,C2RJ
,adiq-paycore-acquirer-admin-hml,adiq-paycore-acquirer-admin-hml,"December 02, 2025 12:00",http://adiq-paycore-acquirer-admin.paycoreacquirer-hml.svc.cluster.local:8080,1,C1NPRD
,adiq-paycore-acquirer-admin-hml,adiq-paycore-acquirer-admin-hml,"June 18, 2024 16:14",http://adiq-paycore-acquirer-admin.paycoreacquirer-hml.svc.cluster.local:8080,1,C2RJ
,adiq-paycore-acquirer-admin-qa,adiq-paycore-acquirer-admin-qa,"December 02, 2025 12:00",http://adiq-paycore-acquirer-admin.paycoreacquirer-qa.svc.cluster.local:8080,1,C1NPRD
,adiq-paycore-acquirer-admin-qa,adiq-paycore-acquirer-admin-qa,"June 18, 2024 15:36",http://adiq-paycore-acquirer-admin.paycoreacquirer-qa.svc.cluster.local:8080,1,C2RJ
,adiq-wallet-api-adiq2-hml,adiq-wallet-api-adiq2-hml,"August 08, 2024 16:52",http://wallet-api.adiq-wallet-adiq2-hml.svc.cluster.local:8080,1,C2RJ
,adiq-wallet-api-hml,adiq-wallet-api-hml,"December 09, 2025 13:56",http://wallet-api.adiq-wallet-hml.svc.cluster.local:8080,1,C1NPRD
,adiq-wallet-api-hml,adiq-wallet-api-hml,"June 05, 2024 19:31",http://wallet-api.adiq-wallet-hml.svc.cluster.local:8080,1,C2RJ
,adiq-wallet-api-prd,adiq-wallet-api-prd,"June 05, 2024 19:31",https://wallet-api-prd-3scale.adiq.io:443,1,C2RJ
,adiq-wallet-api-stg,adiq-wallet-api-stg,"December 09, 2025 13:58",http://wallet-api.adiq-wallet-stg.svc.cluster.local:8080,1,C1NPRD
,adiq-wallet-api-stg,adiq-wallet-api-stg,"June 05, 2024 19:32",http://wallet-api.adiq-wallet-stg.svc.cluster.local:8080,1,C2RJ
,adiq-wallet-bff-adiq2-hml,adiq-wallet-bff-adiq2-hml,"August 08, 2024 16:52",https://wallet-bff-adiq2-hml-3scale.adiq.io:443,1,C2RJ
,adiq-wallet-bff-adiq2-qa,adiq-wallet-bff-adiq2-qa,"July 05, 2024 10:31",https://wallet-bff-adiq2-qa-3scale.adiq.io:443,1,C2RJ
,adiq-wallet-bff-hml,adiq-wallet-bff-hml,"December 09, 2025 13:56",https://wallet-bff-hml-3scale.adiq.io:443,1,C1NPRD
,adiq-wallet-bff-hml,adiq-wallet-bff-hml,"June 05, 2024 19:31",https://wallet-bff-hml-3scale.adiq.io:443,1,C2RJ
,adiq-wallet-bff-prd,adiq-wallet-bff-prd,"August 07, 2024 00:11",https://wallet-bff-prd-3scale.adiq.io:443,1,C2RJ
,adiq-wallet-bff-qa,adiq-wallet-bff-qa,"December 02, 2025 13:02",https://wallet-bff-qa-3scale.adiq.io:443,1,C1NPRD
,adiq-wallet-bff-qa,adiq-wallet-bff-qa,"June 05, 2024 19:32",https://wallet-bff-qa-3scale.adiq.io:443,1,C2RJ
,adiq-wallet-bff-stg,adiq-wallet-bff-stg,"December 09, 2025 13:58",https://wallet-bff-stg-3scale.adiq.io:443,1,C1NPRD
,adiq-wallet-bff-stg,adiq-wallet-bff-stg,"June 05, 2024 19:32",https://wallet-bff-stg-3scale.adiq.io:443,1,C2RJ
,adiq-wallet-interno-webhook-prd,adiq-wallet-interno-webhook-prd,"June 05, 2024 19:32",https://wallet-interno-webhook-prd-3scale.adiq.io:443,1,C2RJ
,adiq-wallet-openbanking-api-adiq2-hml,adiq-wallet-openbanking-api-adiq2-hml,"August 08, 2024 16:52",http://wallet-openbanking-api.adiq-wallet-adiq2-hml.svc.cluster.local:8080,1,C2RJ
,adiq-wallet-openbanking-api-hml,adiq-wallet-openbanking-api-hml,"December 09, 2025 13:57",http://wallet-openbanking-api.adiq-wallet-hml.svc.cluster.local:8080,1,C1NPRD
,adiq-wallet-openbanking-api-hml,adiq-wallet-openbanking-api-hml,"June 05, 2024 19:31",http://wallet-openbanking-api.adiq-wallet-hml.svc.cluster.local:8080,1,C2RJ
,adiq-wallet-paysmart-autorizador-adiq2-hml,adiq-wallet-paysmart-autorizador-adiq2-hml,"August 08, 2024 16:52",http://wallet-paysmart-autorizador.adiq-wallet-adiq2-hml.svc.cluster.local:8080,1,C2RJ
,adiq-wallet-paysmart-autorizador-hml,adiq-wallet-paysmart-autorizador-hml,"December 09, 2025 13:57",http://wallet-paysmart-autorizador.adiq-wallet-hml.svc.cluster.local:8080,1,C1NPRD
,adiq-wallet-paysmart-autorizador-hml,adiq-wallet-paysmart-autorizador-hml,"June 05, 2024 19:31",http://wallet-paysmart-autorizador.adiq-wallet-hml.svc.cluster.local:8080,1,C2RJ
,adiq-wallet-paysmart-autorizador-prd,adiq-wallet-paysmart-autorizador-prd,"June 05, 2024 19:32",https://wallet-paysmart-prd-3scale.adiq.io:443,1,C2RJ
